area,avg_diet_energy_pct,cereal_import_ratio_pct,pct_arable_land_irrigation,mod_severe_insecure_female_pct,mod_severe_insecure_male_pct,mod_severe_insecure_total_pop_pct,severe_insecure_female_pct,severe_insecure_male_pct,severe_insecure_total_pop_pct,undernourishment_pct,diet_cereal_roots_tubers,food_imports_pct,2018_cost_ppp,2019_cost_ppp,2020_cost_ppp,2018_num_unable_to_afford_diet,2019_num_unable_to_afford_diet,2020_num_unable_to_afford_diet,2018_pct_unable_to_afford_diet,2019_pct_unable_to_afford_diet,2020_pct_unable_to_afford_diet,capital_coordinates,,
Republic of Korea,136,76,7.2,4.1,6,5.1,0.6,0.6,0.6,2.5,35,4,2.986,3.162,3.21,0.6,0.4,0.5,1.5,1.1,1.3,"(36.638392, 127.6961188)",,
Republic of Moldova,140,-57.1,6.7,30.1,24.2,27.2,4.6,4.5,4.5,2.5,49,23,2.596,2.673,2.642,0.1,0.1,0.1,1.1,0.5,1.4,"(47.2879608, 28.5670941)",,
Romania,147,-51.4,13.7,15.7,12.1,13.9,3.4,3.3,3.4,2.5,41,10,2.426,2.484,2.577,,,,,,,"(45.9852129, 24.6859225)",,
Russian Federation,137,-73.5,0.3,5.9,6.2,6,0.5,0.5,0.5,2.5,41,6,4.9,4.831,5.111,1,0.9,1.2,2,1.7,2.2,"(64.6863136, 97.7453061)",,
Rwanda,99,34,0.3,,,,,,,32.7,54,39,,,,,,,,,,"(-1.9646631, 30.0644358)",,
Saint Kitts and Nevis,,,0.1,,,24,,,7.2,,29,76,,,,,,,,,,"(17.250512, -62.6725973)",,
Saint Lucia,,100,4.9,,,,,,,,35,157,2.571,2.687,2.814,0.1,0.1,0.2,2.8,3.3,7,"(13.8250489, -60.975036)",,
Saint Vincent and the Grenadines,128,89.6,1.3,33.3,33.3,33.3,10.3,10.3,10.3,3.3,33,182,3.197,3.264,3.42,4.2,3.6,4,2.9,2.5,2.8,"(12.90447, -61.2765569)",,
Samoa,123,,,23.6,23.6,23.6,3.4,3.4,3.4,7.4,38,204,2.483,2.537,2.698,10.5,10.5,11.1,83.9,81.9,84.6,"(-13.7693895, -172.12005)",,
Sao Tome and Principe,106,,10.4,,,,,,,14.9,46,300,3.179,3.31,3.405,,,,,,,"(0.9713095, 7.02255)",,
Saudi Arabia,133,93.7,1.5,,,,,,,4.6,49,7,3.4,3.517,3.595,0,0,0.1,20.6,21.2,31.6,"(25.6242618, 42.3528328)",,
Senegal,120,43.3,0.6,38.9,49.2,44,9.2,10.7,10,6.3,63,42,4.232,4.293,4.454,,,,,,,"(14.4750607, -14.4529612)",,
Serbia,135,-52.6,0.7,12.1,12,12,2.4,2.8,2.6,2.5,43,8,3.394,3.503,3.634,0.2,0.2,0.2,76.3,76.7,77.3,"(44.024322850000004, 21.07657433209902)",,
Seychelles,121,95.5,0.7,,,,,,,4,41,30,3.663,3.888,4.148,,,,,,,"(-4.6574977, 55.4540146)",,
Sierra Leone,104,38.8,0.4,86.5,84.1,85.3,32.7,31.6,32.2,27.5,68,70,2.25,2.278,2.33,7.5,7.3,7.6,48,45.9,46.2,"(8.6400349, -11.8400269)",,
Singapore,,,,4.8,4.2,4.5,1,0.9,0.9,,,3,4.166,4.334,4.268,0.9,1.1,0.9,13.1,16.2,13,"(1.357107, 103.8194992)",,
Slovakia,118,-49.8,1.3,6.3,5.7,6,1.2,1,1.1,2.7,31,5,3.959,3.948,3.784,0,0,0,7.8,7.2,7.5,"(48.7411522, 19.4528646)",,
Slovenia,127,21.6,0.3,9.3,7.2,8.2,0.5,0.5,0.5,2.5,40,6,2.952,2.847,2.893,6.6,6.5,6.8,84.2,81.3,82.5,"(46.1199444, 14.8153333)",,
Small Island Developing States,95,76.1,2.1,48.6,44,46.4,22.7,20.2,21.4,14.6,44,6,2.867,2.936,3.064,,,,,,,,,
Solomon Islands,107,,,,,,,,,19.9,64,24,4.713,4.835,5.094,,,,,,,"(-8.7053941, 159.1070693851845)",,
Somalia,82,,0.3,,,,,,,51.9,,433,3.102,3.242,3.211,0.2,0.1,0.1,2.8,1.4,1.4,"(8.3676771, 49.083416)",,
South Africa,120,7.8,1.4,19.9,16.5,18.2,8.4,6.5,7.5,6.1,51,6,2.902,3.023,3.095,0,0,0,0.1,0.1,0,"(-28.8166236, 24.991639)",,
South Sudan,72,,0,85.7,85.7,85.7,63,63,63,,,28,,,,,,,,,,"(6.8770, 31.3070) ",,
Spain,135,36.4,7.9,10,7.7,8.8,1.9,1.8,1.8,2.5,27,8,3.565,3.663,3.816,1343.9,1340.6,1425.9,71.1,70.2,73.8,"(39.3260685, -4.8379791)",,
Sri Lanka,114,20.9,10.3,8,9.8,8.9,0.8,0.9,0.9,6.4,58,17,3.67,3.776,3.937,342,353.6,361.8,65.7,67.1,67.7,"(7.5554942, 80.7137847)",,
Sudan,118,33.5,1,49.4,49.4,49.4,16.8,16.8,16.8,11.3,53,62,3.705,3.667,3.923,11.3,10.6,11.8,52,48.5,54,"(12.8628, 30.2176) ",,
Suriname,111,-27,0.4,,,,,,,9,44,8,3.246,3.275,3.361,841.7,858.1,888.8,83.2,82.6,83.3,"(4.1413025, -56.0771187)",,
Sweden,127,-18.6,0.4,5.5,5.2,5.3,1.2,1.3,1.2,2.5,30,7,3.261,3.299,3.382,879.8,898.5,930.6,83.5,83,83.8,"(60.1282, 18.6435)",,
Switzerland,133,52.7,1.3,1.5,2.4,2,0.5,0.6,0.5,2.5,25,3,3.921,4.306,4.308,38.2,40.5,41.8,90.9,93.6,94.1,"(46.7985624, 8.2319736)",,
Syrian Arab Republic,108,29.2,7.1,,,,,,,23.6,49,96,5.311,5.337,5.739,0.3,0.3,0.3,45,43.9,54.3,"(34.6401861, 39.0494106)",,
Tajikistan,120,50.4,5.9,,,,,,,9.8,53,52,,,,,,,,,,"(38.6281733, 70.8156541)",,
Thailand,115,-36.5,12.6,5.9,4.9,5.4,0.9,0.8,0.8,6,49,4,3.164,3.274,3.309,0.1,0.1,0.1,1.2,0.6,0.8,"(13.03876215, 101.70017611907599)",,
Timor-Leste,103,,2.4,,,,,,,23.8,63,104,2.591,2.654,2.639,0,0,0,0,0,0,"(-8.7443169, 126.063482)",,
Togo,109,21.2,0.1,59.4,63.1,61.2,15.5,18.9,17.2,18.8,69,29,,,,,,,,,,"(8.7800265, 1.0199765)",,
Tokelau,,,,,,,,,,,,,,,,,,,,,,"(-9.1676396, -171.819687)",,
Tonga,,,,23.2,23.2,23.2,6,6,6,,,365,,,,,,,,,,"(-19.9160819, -175.202642)",,
Trinidad and Tobago,111,100,1.4,,,,,,,13.2,39,11,3.03,3.194,3.468,4.1,4.1,4.5,44.6,44,46.8,"(10.7466905, -61.0840075)",,
Tunisia,147,65.4,3.2,26,24.1,25,11.4,10,10.7,2.5,49,13,4.042,4.181,4.321,15,13.6,14.1,21,19.1,19.8,"(36.8002068, 10.1857757)",,
Turkmenistan,119,15.1,4.2,,,,,,,5.8,58,5,4.028,4.083,4.224,0.1,0.1,0.1,7,7.1,9.1,"(39.3763807, 59.3924609)",,
Tuvalu,,,,,,,,,,,,5178,3.559,3.628,3.639,1.8,1.7,2.2,14.9,14.4,18,"(-8.6405212, 179.1582918181797)",,
Turkey,158,11.3,6.8,,,,,,,2.5,44,6,,,,,,,,,,"(38.9597594, 34.9249653)",,
Uganda,100,8.9,0.1,71,75.1,73.1,22.3,24.5,23.4,32.5,43,22,,,,,,,,,,"(1.5333554, 32.2166578)",,
Ukraine,119,-334.7,3.7,22.3,17.5,19.9,2.5,2.5,2.5,3.6,45,8,2.997,3.189,2.997,5.1,7.5,5.8,6.2,8.9,6.9,"(49.4871968, 31.2718321)",,
United Arab Emirates,123,100,1.3,,,,,,,3.4,37,5,,,,,,,,,,"(24.0002488, 53.9994829)",,
United Kingdom of Great Britain and Northern Ireland,135,15.1,0.9,3.5,4.3,3.9,0.6,0.9,0.7,2.5,33,12,2.712,2.679,2.671,34.6,35.6,36.7,83.4,82.9,82.6,"(54.7023545, -3.2765753)",,
United Republic of Tanzania,111,2.6,0.4,55.3,57.4,56.3,24.8,24.1,24.4,22.3,57,11,2.835,2.902,3.111,0,0,0,0.1,0,0.2,"(-6.5247123, 35.7878438)",,
United States of America,151,-23.2,2.9,8.9,7.5,8.2,0.8,0.7,0.8,2.5,24,8,1.873,1.937,1.911,0.3,0.3,0.3,0.5,0.5,0.5,"(39.7837304, -100.445882)",,
Uruguay,135,-113.1,1.5,15.9,12.2,14,2.5,1.8,2.1,2.5,38,14,3.24,3.268,3.383,5.7,4.9,4.1,1.7,1.5,1.2,"(-32.8755548, -56.0201525)",,
Uzbekistan,137,29.1,9.8,21.3,18.2,19.7,4.3,3.8,4,2.5,50,14,3.555,3.648,3.721,368.2,350.5,406.4,15.2,14.4,16.6,"(41.32373, 63.9528098)",,
Vanuatu,122,100,,23.3,23.3,23.3,2.4,2.4,2.4,10.8,50,120,3.17,3.254,3.414,0.1,0.1,0.2,3,3.3,5.3,"(-16.5255069, 168.1069154)",,
Venezuela ,96,61.2,1.2,,,,,,,23.4,40,16,,,,,,,,,,"(8.0018709, -66.1109318)",,
Vietnam,129,10.3,14.6,7.8,5.1,6.5,0.7,0.5,0.5,5.5,56,5,,,,,,,,,,"(15.9266657, 107.9650855)",,
Yemen,95,92.8,1.3,52.7,46.1,49.4,11.9,8.7,10.3,38.9,65,232,3.182,3.267,3.312,146.4,148,148.9,36,35.9,35.5,"(16.3471243, 47.8915271)",,
Zambia,103,-0.1,0.2,60.4,60.4,60.3,28.2,28.2,28.2,29.2,73,4,2.826,2.904,2.951,0.4,0.6,0.6,0.2,0.3,0.3,"(-14.5189121, 27.5589884)",,
Zimbabwe,91,60.3,0.5,71.3,68.3,69.8,33.7,30.6,32.1,38.9,53,14,3.355,3.431,3.511,3019.1,3005.5,3191.9,41.8,41.2,43.3,"(-18.4554963, 29.7468414)",,
