area,avg_diet_energy_pct,cereal_import_ratio_pct,pct_arable_land_irrigation,mod_severe_insecure_female_pct,mod_severe_insecure_male_pct,mod_severe_insecure_total_pop_pct,severe_insecure_female_pct,severe_insecure_male_pct,severe_insecure_total_pop_pct,undernourishment_pct,diet_cereal_roots_tubers,food_imports_pct,2018_cost_ppp,2019_cost_ppp,2020_cost_ppp,2018_num_unable_to_afford_diet,2019_num_unable_to_afford_diet,2020_num_unable_to_afford_diet,2018_pct_unable_to_afford_diet,2019_pct_unable_to_afford_diet,2020_pct_unable_to_afford_diet,capital_coordinates,,
Chile,125,53.9,1.5,18.5,16.1,17.3,3.8,3.4,3.6,2.6,42,8,3.953,4.064,4.2,13.4,13.7,14.8,51.1,51.6,55.2,"(-31.7613365, -71.3187697)",,
China,133,4.3,,,,,,,,2.5,51,5,2.79,2.883,3.017,8.4,8.4,9.7,18.2,17.9,20.3,"(35.8617, 104.1954)",,
Hong Kong,131,100,1,,,,,,,2.5,28,4,,,,,,,,,,"(22.350627, 114.1849161)",,
Macau,128,90.1,,,,,,,,6.4,31,104,3.507,3.57,3.615,4.8,4.9,5,94.5,94.4,94.5,"(22.1987, 113.5439)",,
Taiwan,119,73.8,10.7,,,,,,,3.7,32,3,2.796,2.907,3.102,7.4,7.3,8.6,21.9,21.3,24.6,"(23.6978, 120.9605)",,
Colombia,130,63.6,1,,,,,,,5.4,36,13,2.735,2.666,2.827,12.6,12.8,13.7,80.9,79.3,82.4,"(4.099917, -72.9088133)",,
Comoros,112,,0.1,,,,,,,11.6,56,257,3.18,3.276,3.349,0.8,0.9,1.1,4.5,4.7,5.9,"(-12.2045176, 44.2832964)",,
Congo,97,96.2,0,87,89.6,88.3,49.9,53.5,51.7,31.1,60,8,3.819,4.147,4.513,,,,,,,"(-2.9814344, 23.8222636)",,
Cook Islands,,,,,,,,,,,,202,,,,,,,,,,"(-19.99697155, -157.78587140620786)",,
Costa Rica,124,89.5,3.1,17.7,13,15.3,2.9,2.3,2.6,3.1,33,15,2.63,2.792,2.983,190.8,171.9,224.4,13.6,12.2,15.9,"(9.536456900000001, -84.17566257468567)",,
Croatia,128,-44.8,0.7,12.9,9.2,11,1.7,0.9,1.3,2.5,30,17,2.893,2.932,3.08,12,12.7,17.2,24.3,25.4,33.7,"(45.3658443, 15.6575209)",,
Cuba,139,77.7,6.2,,,,,,,2.5,45,85,3.385,3.365,3.421,4.9,5,5.2,90,90,90.8,"(23.0131338, -80.8328748)",,
Cyprus,119,98.4,4.1,,,,,,,2.5,39,27,2.988,3.144,3.236,,,,,,,"(34.9174159, 32.889902651331866)",,
Czechia,132,-42,0.6,4.9,3.4,4.2,0.9,0.8,0.8,2.5,26,4,2.88,2.947,2.991,0,0,0,0.1,0.3,0.1,"(49.7439047, 15.3381061)",,
Côte d'Ivoire,129,45,0.2,40.6,40.7,40.6,9.2,9,9.1,8.4,71,13,2.921,3.025,3.003,0,0,0,0.1,0.2,0.1,"(7.9897371, -5.5679458)",,
Democratic People's Republic of Korea,84,17.8,12.1,,,,,,,43.3,67,360,3.357,3.506,3.61,18.7,18.8,19.5,73.4,72,72.8,"(40.3736611, 127.0870417)",,
Democratic Republic of the Congo,102,19.8,0,68.7,69.7,69.2,37.2,39.8,38.5,32.5,79,4,2.58,2.393,2.242,79.3,79.9,80.9,91,88.9,87.1,"(-2.9814344, 23.8222636)",,
Denmark,134,-8.4,7.9,5.5,4.5,5,1.3,0.9,1.1,2.5,27,8,2.44,2.491,2.508,0,0,0,0.2,0.4,0.3,"(55.670249, 10.3333283)",,
Djibouti,106,98.8,0,,,,,,,19,55,31,2.866,2.985,3.112,0.7,0.7,0.7,66.4,65.2,66.7,"(11.8145966, 42.8453061)",,
Dominica,117,100,0.3,,,,,,,6.8,33,259,4.146,4.236,4.345,,,,,,,"(15.4113138, -61.3653618)",,
Dominican Republic,128,65.8,6.4,58.6,51.4,55,24.3,22,23.2,6.3,27,23,3.608,3.744,3.884,2.3,2.2,2.7,21.7,20.6,25,"(19.0974031, -70.3028026)",,
Ecuador,110,34.7,6.9,34.2,31.2,32.7,12.2,10.9,11.6,13.4,45,7,,,,,,,,,,"(-1.3397668, -79.3666965)",,
Egypt,135,47.4,3.9,29.5,26.1,27.8,7,6.5,6.7,6.3,66,48,3.137,3.261,3.312,7.4,6.8,7,3,2.8,2.8,"(26.8206, 30.8025) ",,
